School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,# Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Geocode,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
2016 - 17,PASSAGES ACADEMY AT BELMONT(BN),X695,K,7,618,,1,211,PS 077K,Brooklyn College Academy,0,0,1,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"560 BROOK AVENUE\n(40.815701, -73.914526)",NaN,,,NaN,NaN,NaN,NaN,NaN,
2016 - 17,P.S. Q086,Q086,Q,28,646,,1,746,MS 074Q,P.S. 082 Hammond,0,1,0,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"87 41 PARSONS BOULEVARD\n(41.12133, -72.339742)",11432,40.708898,-73.803938,8,24,448,4438678,4097740001,Briarwood-Jamaica Hills
2016 - 17,P.S. 001 The Bergen,K001,K,15,1334,,1,198,PS 001K,P.S. 001 The Bergen,0,0,1,0,0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"309 47 STREET\n(41.574857, -93.767342)",NaN,,,NaN,NaN,NaN,NaN,NaN,
2016 - 17,P.S. 001 Alfred E. Smith,M001,M,2,533,,1,1398,Sunset Park HS,P.S. Q256,0,1,0,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"8 HENRY STREET\n(41.398617, -73.465855)",NaN,,,NaN,NaN,NaN,NaN,NaN,
2016 - 17,P.S. 035,M035,M,2,833,,1,663,JHS 056M,James Weldon Johnson,0,1,3,0,1,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"317 WEST 52ND STREET\n(41.799996, -87.633867)",10019,40.763866,-73.985939,4,3,133,1025241,1010430022,Clinton
2016 - 17,The Urban Assembly School for Collaborative Health,K764,K,19,215,999 JAMAICA AVENUE CONSOLIDATED LOCATION,5,315,SAMUEL J. TILDEN HS,Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"999 JAMAICA AVENUE\n(27.783609, -80.501816)",11208,40.691146,-73.868328,5,37,1180,3090738,3040940001,park-cemetery-etc-Brooklyn
2016 - 17,Brooklyn High School of the Arts,K656,K,15,522,345 DEAN STREET CONSOLIDATED LOCATION,2,1226,Academy for Health Careers(Dist.13 Office),The Math & Science Exploratory School |  Brooklyn High School of the Arts |  345 DEAN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"345 DEAN STREET\n(31.226762, -84.221511)",11217,40.683559,-73.98027,2,33,39,3001190,3001920013,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2016 - 17,P.S. 183 Robert L. Stevenson,M183,M,2,704,4862 BROADWAY CONSOLIDATED LOCATION,2,619,PS 171M,Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"419 EAST 66 STREET\n(40.763596, -73.957856)",10065,40.763736,-73.95815,8,5,116,1045569,1014610007,Lenox Hill-Roosevelt Island
2016 - 17,J.H.S. 162 The Willoughby,K162,K,32,414,330 CROWN STREET CONSOLIDATED LOCATION,2,237,PS 160K,P.S. 161 The Crown|SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS - BROOKLYN 7(BS)|330 CROWN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"1390 WILLOUGHBY AVENUE\n(40.70727, -73.919792)",11237,40.707229,-73.919805,4,34,445,3073018,3032120001,Bushwick North
2016 - 17,P.S. 236 Mill Basin,K236,K,22,1262,,1,168,IS 232K,P.S. 235 Lenox School,1,1,1,1,1,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"6302 AVENUE\n(29.464895, -94.983575)",11234,40.615998,-73.912989,18,46,698,3326821,3084640001,Georgetown-Marine Park-Bergen Beach-Mill Basin
2016 - 17,Professor Juan Bosch Public School,M178,M,6,423,4862 BROADWAY CONSOLIDATED LOCATION,2,619,PS 171M,Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"12 18 ELLWOOD STREET\n(40.859393, -73.927875)",10040,40.859243,-73.927792,12,10,283,1064128,1021710036,Washington Heights North
2016 - 17,High School of  Telecommunication Arts and Technol,K485,K,20,1144,400 IRVING AVENUE CONSOLIDATED LOCATION,4,152,GEORGE WINGATE HS,The Brooklyn School for Math and Research |  Academy for Environmental Leadership |  Bushwick School for Social Justice |  Academy of Urban Planning |  400 IRVING AVENUE CONSOLIDATED LOCATION,1,3,42,3,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"350 67 STREET\n(44.048053, -122.90782)",NaN,,,NaN,NaN,NaN,NaN,NaN,
2016 - 17,The High School for Global Citizenship,K528,K,17,420,883 CLASSON AVENUE CONSOLIDATED LOCATION,4,140,THOMAS JEFFERSON HS,International High School at Prospect Heights |  The High School for Global Citizenship |  Brooklyn Academy of Science and the Environment |  Brooklyn School for Music & Theatre |  883 CLASSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"883 CLASSON AVENUE\n(40.67009, -73.961805)",11225,40.670349,-73.961695,9,35,213,3029686,3011870001,Crown Heights South
2016 - 17,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,K023,K,14,556,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,2,59,PS 022K,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,0,1,0,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"545 WILLOUGHBY AVENUE\n(40.694054, -73.947636)",11206,40.69407,-73.94756,3,36,25901,3048818,3017590013,Bedford
2016 - 17,"Urban Assembly School of Design and Construction,",M300,M,2,199,,1,670,MURRY BERGTRAUM HS,I.S. 528 Bea Fuller Rodgers School,1,0,0,1,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"525 WEST 50TH STREET\n(25.826427, -80.127267)",10019,40.765184,-73.992953,4,3,135,1083802,1010790029,Clinton
2016 - 17,P.S. M079 - Horan School,M079,M,5,508,,1,657,IS 070M,P.S. 076 A. Philip Randolph,0,2,2,2,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,55 EAST 120 STREET,10035,40.802419,-73.942634,11,9,198,1053968,1017470001,East Harlem North
2016 - 17,P.S./I.S. 187 Hudson Cliffs,M187,M,6,591,,1,1070,PS 275M,P.S. 180 Hugo Newman,0,3,1,2,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"349 CABRINI BOULEVARD\n(40.856315, -73.937375)",10040,40.856693,-73.937093,12,10,273,1064371,1021790365,Washington Heights North
2016 - 17,P.S. 295,K295,K,15,331,,1,1067,W. E. B. DU BIOS ACADEMIC HS,P.S. K004,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"330 18 STREET\n(35.375251, -119.00591)",NaN,,,NaN,NaN,NaN,NaN,NaN,
2016 - 17,800 VAN SICLEN AVE CONSOLIDATED LOCATION,K166,K,19,316,800 VAN SICLEN AVE CONSOLIDATED LOCATION,3,100,PS 165K,Van Siclen Community Middle School | Achivement First Brooklyn Academy Charter School |UFT Charter School |800 VAN SICLEN AVE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"800 VAN SICLEN AVE\n(40.660276, -73.885481)",11207,40.66011,-73.885387,5,42,1104,3097675,3043490050,East New York
2016 - 17,5404 TILDEN AVENUE CONSOLIDATED LOCATION,K244,K,18,550,5404 TILDEN AVENUE CONSOLIDATED LOCATION,2,178,JHS 239K,P.S. 244 Richard R. Green|  Brooklyn Science and Engineering Academy|  5404 TILDEN AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"5404 TILDEN AVENUE\n(34.172136, -118.447355)",11203,40.648423,-73.925948,17,45,946,3104513,3047390001,Rugby-Remsen Village
2016 - 17,P.S. M169 - Robert F. Kennedy,M169,M,2,1073,234 WEST 109 STREET CONSOLIDATED LOCATION,2,614,PS 161M,P.S. 165 Robert E. Simon |  Mott Hall II |  234 WEST 109 STREET CONSOLIDATED LOCATION,0,2,4,0,2,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"110 EAST 88 STREET\n(33.957188, -118.273348)",10128,40.781227,-73.955673,8,4,14802,1048043,1015167502,Upper East Side-Carnegie Hill
2016 - 17,P.S. 200- The James Mccune Smith School,M200,M,5,468,1700 3 AVENUE CONSOLIDATED LOCATION,2,1335,East Harlem Village Academy Charter School,P.S. 77 Lower Lab School |  P.S. 198 Isador E. Ida Straus |  1700 3 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"2589 7 AVENUE\n(40.824454, -73.936898)",10039,40.824495,-73.936997,10,9,236,1060198,1020160100,Central Harlem North-Polo Grounds
2016 - 17,Riverdale Avenue Middle School,K668,K,23,374,76 RIVERDALE AVENUE CONSOLIDATED LOCATION,2,247,PS 180K,Riverdale Avenue Community School | Riverdale Avenue Middle School |  76 RIVERDALE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"76 RIVERDALE AVENUE\n(41.044852, -73.793828)",11212,40.660204,-73.913933,16,42,896,3082253,3035970011,Brownsville
2016 - 17,LEADERSHIP PREPARATORY OCEAN HILL CHARTER SCHOOL(BN),K775,K,23,299,51 CHRISTOPHER AVENUE CONSOLIDATED LOCATION,2,1139,PS 328 Phyllis Wheatley, Christopher Avenue Community School |Leadership Preparatory Ocean Hill Charter School  | 51 CHRISTOPHER AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"51 CHRISTOPHER AVENUE\n(41.71862, -73.956572)",11212,40.672462,-73.906552,16,37,908,3083608,3036930001,Brownsville
2016 - 17,EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL(MN),M518,M,4,214,1573 MADISON AVENUE CONSOLIDATED LOCATION,4,575,PS 009M,Central Park East I|  Central Park East High School|  East Harlem Scholars Academy Charter School II|  East Harlem Scholars Academy Charter School|  1573 MADISON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"1573 MADISON AVENUE\n(40.780479, -81.931448)",10029,40.793763,-73.949381,11,8,17401,1051515,1016120050,East Harlem South
2016 - 17,Vanguard High School,M449,M,2,2278,345 EAST  15TH STREET CONSOLIDATED LOCATION,3,562,LOUIS D. BRANDEIS HS,P.S. M226 |  Institute for Collaborative Education |  High School for Health Professions and Human Servi |  345 EAST  15TH STREET CONSOLIDATED LOCATION,1,7,17,4,3,10C,2001-2500,1.69,7.16,17.44,3.63,3.94,"317 EAST 67 STREET\n(39.006943, -94.585196)",10065,40.765359,-73.960059,8,5,118,1083343,1014420001,Lenox Hill-Roosevelt Island
2016 - 17,3000 WEST 1 STREET CONSOLIDATED LOCATION,K370,K,21,NaN,3000 WEST 1 STREET CONSOLIDATED LOCATION,2,1094,PS 156K,P.S. 370 |  Home Instruction - Brooklyn |  3000 WEST 1 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,"3000 WEST 1 STREET\n(40.577533, -73.969551)",11224,40.57752,-73.969517,13,48,35602,3196587,3072740107,West Brighton
2016 - 17,2424 BATCHELDER STREET CONSOLIDATED LOCATION,K014,K,22,534,2424 BATCHELDER STREET CONSOLIDATED LOCATION,2,153,IS 014K,J.H.S 014 Shell Bank | PS 77 (Brooklyn) |CONDOLIDATED LOCATION,0,5,4,0,5,4C,501-750,0.28,1.11,1.74,0.75,0.53,"2424 BATCHELDER STREET\n(40.593353, -73.937627)",11235,40.593521,-73.937672,15,48,596,3203617,3074240001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2016 - 17,1180 REV. J.A. POLITE AVE. CONSOLIDATED LOCATION,X099,X,12,210,1619 BOSTON ROAD CONSOLIDATED LOCATION,3,428,CS 090X,J.H.S. 098 Herman Ridder |  Explorations Academy  |    Bronx Envision Academy |  1619 BOSTON ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,1180 REV J A POLITE AVE,10459,40.827315,-73.897612,2,17,131,2005276,2026920014,Longwood
2016 - 17,Clara Barton High School,K600,K,17,1252,,1,1398,Sunset Park HS,Medgar Evers College Preparatory School,0,6,4,3,3,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"901 CLASSON AVENUE\n(40.669572, -73.961978)",11225,40.669567,-73.961962,9,35,213,3029702,3011880001,Crown Heights South
2016 - 17,A. Philip Randolph Campus High School,M540,M,6,431,525 WEST  50TH STREET CONSOLIDATED LOCATION,5,670,MURRY BERGTRAUM HS,"Food and Finance High School |  High School of Hospitality Management |  Urban Assembly School of Design and Construction, |  Facing History School, The |  Manhattan Bridges High School |  525 WEST  50TH STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"443 WEST 135 STREET\n(40.999692, -73.677695)",10031,40.818188,-73.950356,9,9,21703,1059409,1019570078,Manhattanville
2016 - 17,131 AVENUE OF THE AMERICAS CONSOLIDATED LOCATION,M615,M,2,1671,,1,674,PARK WEST HS,The High School of Fashion Industries,2,10,13,10,0,8C,1501-1750,0.66,3.26,7.31,1.77,1.74,"131 AVENUE\n(40.72453, -74.004702)",10013,40.7244,-74.004625,2,3,37,1007378,1004910016,SoHo-TriBeCa-Civic Center-Little Italy
2016 - 17,Lower Manhattan Community Middle School,M896,M,2,187,,1,1461,East Side Elementary School PS 267,The River School,0,0,0,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"26 BROADWAY\n(42.936401, -74.21444)",10004,40.70568,-74.013302,1,1,9,1000811,1000220013,Battery Park City-Lower Manhattan
2016 - 17,P.S. 005 Ellen Lurie,M005,M,6,610,,1,NaN,#N/A,P.S. 004 Duke Ellington,0,1,1,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"3703 TENTH AVENUE\n(43.75668, -89.77756)",10034,40.85899,-73.922894,12,10,299,1084201,1021500030,Marble Hill-Inwood
2016 - 17,Van Siclen Community Middle School,K654,K,19,371,,1,240,PS 164K,P.S. 165 Ida Posner,1,2,2,1,2,3C,251-500,0.27,0.9,1.67,0.63,0.44,"800 VAN SICLEN AVE\n(40.660276, -73.885481)",11207,40.66011,-73.885387,5,42,1104,3097675,3043490050,East New York
2016 - 17,P.S. 181 Brooklyn,K181,K,17,333,5601 16 AVENUE CONSOLIDATED LOCATION,2,101,PS 178K,The SEEALL Academy |  P.S. K231 |  5601 16 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"1023 NEW YORK AVENUE\n(38.933841, -74.910391)",11203,40.648215,-73.946374,17,45,856,3327776,3049040010,East Flatbush-Farragut
2016 - 17,1065 ELTON STREET CONSOLIDATED LOCATION,K422,K,19,397,1065 ELTON STREET CONSOLIDATED LOCATION,2,13,FRANKLIN K. LANE HS,Academy for Young Writers |  Spring Creek Community School |  1065 ELTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"1065 ELTON STREET\n(40.656944, -73.874295)",11208,40.657459,-73.874756,5,42,1070,3413878,3044490001,East New York
2016 - 17,Sunset Park Prep,K821,K,15,994,4004 4 AVENUE CONSOLIDATED LOCATION,2,1037,PS 135K,I.S. 136 Charles O. Dewey | Sunset Park Prep |  4004 4 AVENUE CONSOLIDATED LOCATION,0,1,0,1,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"4004 4 AVENUE\n(40.485493, -78.413348)",11232,40.651977,-74.006862,7,38,82,3010580,3007130020,Sunset Park West
2016 - 17,P.S. 184 Newport,K184,K,23,115,76 RIVERDALE AVENUE CONSOLIDATED LOCATION,2,247,PS 180K,Riverdale Avenue Community School | Riverdale Avenue Middle School |  76 RIVERDALE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"273 NEWPORT STREET\n(40.659953, -73.904893)",11212,40.659966,-73.904901,16,42,918,3082391,3036060001,Brownsville
2016 - 17,1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,X401,X,12,240,1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,3,1382,Academy for Scholarship & Entrepreneurship:A College Board School,Arturo A. Schomburg Satellite Academy Bronx|  Bronx Regional High School|  ROADS Charter School II|  1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,1010 REV J A POLITE AVENUE,10459,40.823532,-73.898872,2,17,12901,2005366,2026980012,Longwood
2016 - 17,P.S. 089 Cypress Hills,K089,K,19,611,,1,8,BROOKLYN INTERNATIONAL HS,P.S. 163 Bath Beach,0,1,1,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"265 WARWICK STREET\n(44.933434, -93.163182)",11207,40.677697,-73.886936,5,37,1170,3397079,3039520047,East New York
2016 - 17,Victory Collegiate High School,K576,K,18,372,6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,6,145,CANARSIE HS,Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment |  South Shore Educational Complex Yabc |  6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"6565 FLATLANDS AVENUE\n(40.633516, -73.916477)",11236,40.633285,-73.916735,18,46,950,3224139,3079980005,Canarsie
2016 - 17,P.S. 003 Charrette School,M003,M,2,603,,1,NaN,#N/A,P.S. 002 Meyer London,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"490 HUDSON STREET\n(40.920019, -73.937349)",10014,40.732593,-74.006466,2,3,73,1009872,1005850041,West Village
2016 - 17,P.S. 006,K006,K,17,738,,1,199,PS 006K,P.S. 006,0,1,0,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"43 SNYDER AVENUE\n(41.045352, -74.156585)",11226,40.64859,-73.957138,14,40,794,3117230,3051030079,Erasmus
2016 - 17,J.H.S. 014 Shell Bank,K014,K,22,534,2424 BATCHELDER STREET CONSOLIDATED LOCATION,2,153,IS 014K,J.H.S 014 Shell Bank | PS 77 (Brooklyn) |CONDOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"2424 BATCHELDER STREET\n(40.593353, -73.937627)",11235,40.593521,-73.937672,15,48,596,3203617,3074240001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2016 - 17,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,K805,K,13,361,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,232,PS 133K,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"49 FLATBUSH AVENUE\n(40.697187, -73.984992)",11201,40.697339,-73.985016,2,33,15,3000216,3001200020,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2016 - 17,145 WEST  84 STREET CONSOLIDATED LOCATION,M470,M,3,174,145 WEST  84 STREET CONSOLIDATED LOCATION,5,539,GEORGE WASHINGTON HS,The Urban Assembly School for Green Careers|The Global Learning Collaborative|Innovation Diploma Plus|FRANK McCOURT HIGH SCHOOL|Success Academy Charter School - Upper West|145 WEST  84 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"145 WEST 84 STREET\n(40.785643, -73.974264)",10024,40.785803,-73.974614,7,6,169,1032128,1012150001,Upper West Side
2016 - 17,P.S. 173,M173,M,6,742,19 EAST 103 STREET CONSOLIDATED LOCATION,2,617,PS 165M,P.S. 171 Patrick Henry |  Central Park East II |  19 EAST 103 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"306 FORT WASHINGTON AVENUE\n(40.141567, -75.207516)",10033,40.845469,-73.940468,12,10,263,1063503,1021420154,Washington Heights South
2016 - 17,P.S. 319,K319,K,14,1358,,1,295,PS 314K,I.S. 318 Eugenio Maria De Hostos,0,2,4,2,0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"360 KEAP STREET\n(40.70959, -73.954281)",11211,40.709674,-73.954217,1,34,527,3063189,3024240001,North Side-South Side
2016 - 17,345 DEAN STREET CONSOLIDATED LOCATION,K655,K,15,866,345 DEAN STREET CONSOLIDATED LOCATION,2,1226,Academy for Health Careers(Dist.13 Office),The Math & Science Exploratory School |  Brooklyn High School of the Arts |  345 DEAN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,"345 DEAN STREET\n(31.226762, -84.221511)",11217,40.683559,-73.98027,2,33,39,3001190,3001920013,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2016 - 17,Brownsville Collaborative Middle School,K363,K,23,218,85 WATKINS STREET CONSOLIDATED LOCATION,2,182,JHS 293K,P.S. 298 Dr. Betty Shabazz |  Brownsville Collaborative Middle School |  85 WATKINS STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"85 WATKINS STREET\n(40.670936, -73.908193)",11212,40.670986,-73.908194,16,37,906,3080768,3035070007,Brownsville
2016 - 17,610 HENRY STREET CONSOLIDATED LOCATION,K142,K,15,666,610 HENRY STREET CONSOLIDATED LOCATION,2,234,PS 139K,P.S. 146 |  Brooklyn Secondary School for Collaborative Studie |  610 HENRY STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"610 HENRY STREET\n(33.366783, -79.298995)",11231,40.68007,-74.001377,6,39,63,3336036,3003690001,Carroll Gardens-Columbia Street-Red Hook
2016 - 17,P.S. 770 New American Academy,K770,K,17,344,60 EAST  94 STREET CONSOLIDATED LOCATION,2,192,MS 391K,P.S. 398 Walter Weaver |  P.S. 770 New American Academy |  60 EAST  94 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"60 EAST 94 STREET\n(40.663934, -73.92737)",11212,40.663559,-73.926959,17,41,882,3323072,3045950015,Rugby-Remsen Village
2016 - 17,P.S. 036 Margaret Douglas,M036,M,5,350,,1,578,PS 030M,P.S. 034 Franklin D. Roosevelt,0,1,1,0,1,3C,251-500,0.27,0.9,1.67,0.63,0.44,"123 MORNINGSIDE DRIVE\n(33.410237, -83.946929)",10027,40.81027,-73.957482,9,7,19701,1055890,1018500002,Morningside Heights
2016 - 17,El Puente Academy for Peace and Justice,K685,K,14,285,,1,142,WILLIAM MAXWELL HS,The Maurice Sendak Community School,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"250 HOOPER STREET\n(39.316726, -82.083964)",11211,40.705898,-73.955611,1,33,529,3379706,3022070002,Williamsburg
2016 - 17,Academy for Environmental Leadership,K403,K,32,273,400 IRVING AVENUE CONSOLIDATED LOCATION,4,152,GEORGE WINGATE HS,The Brooklyn School for Math and Research |  Academy for Environmental Leadership |  Bushwick School for Social Justice |  Academy of Urban Planning |  400 IRVING AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"400 IRVING AVENUE\n(26.614812, -81.569933)",11237,40.69697,-73.910791,4,37,435,3076908,3033650098,Bushwick North
2016 - 17,911 FLATBUSH AVENUE CONSOLIDATED LOCATION,K465,K,17,559,911 FLATBUSH AVENUE CONSOLIDATED LOCATION,6,184,JOHN JAY HS,"Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"911 FLATBUSH AVENUE\n(40.649522, -73.958489)",11226,40.649787,-73.95855,14,40,794,3336215,3051030010,Erasmus
2016 - 17,P.S. 192 - The Magnet School for Math and Science,K192,K,20,192,,1,307,PS/IS 189K,P.S. 191 Paul Robeson,0,3,2,3,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"4715 18 AVENUE\n(40.629152, -73.98015)",11204,40.629303,-73.979995,12,44,476,3128909,3054450001,Borough Park
2016 - 17,P.S. 130 Hernando De Soto,M130,M,2,451,,1,1310,KIPP STAR COLLEGE PREP CHARTER SCHOOL,P.S. 129 John H. Finley,0,0,2,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"143 BAXTER STREET\n(38.115123, -122.265407)",10013,40.718903,-73.998438,2,1,41,1003086,1002360038,SoHo-TriBeCa-Civic Center-Little Italy
2016 - 17,P.S. 121 Nelson A. Rockefeller,K121,K,21,450,,1,225,PS 119K,P.S. 120 Carlos Tapia,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"5301 20 AVENUE\n(27.969464, -82.395335)",11204,40.623273,-73.978822,12,44,464,3253281,3054951101,Borough Park
2016 - 17,"Facing History School, The",M303,M,2,400,525 WEST  50TH STREET CONSOLIDATED LOCATION,5,670,MURRY BERGTRAUM HS,"Food and Finance High School |  High School of Hospitality Management |  Urban Assembly School of Design and Construction, |  Facing History School, The |  Manhattan Bridges High School |  525 WEST  50TH STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"525 WEST 50TH STREET\n(25.826427, -80.127267)",10019,40.765184,-73.992953,4,3,135,1083802,1010790029,Clinton
2016 - 17,Andries Hudde,K240,K,22,1270,,1,1401,The Academy of Talented Scholars,Mark Twain I.S. 239 for the Gifted & Talented,1,1,0,1,1,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"2500 NOSTRAND AVENUE\n(40.623828, -73.946322)",11210,40.623561,-73.946279,14,45,748,3208638,3076290030,Midwood
